G_POA_norm,air_temp_norm,wind_s_norm,humidity_norm,declination_norm,power_norm
0.10795,0.362,0.113,0.81,-0.76671,0.1325
0.118,0.362,0.225,0.8,-0.7667,0.0915
0.08815,0.36,0.177,0.81,-0.76669,0.098
0.08385,0.358,0.129,0.81,-0.76668,0.0775
0.0771,0.356,0.193,0.82,-0.76667,0.0865
0.0769,0.356,0.225,0.82,-0.76666,0.0785
0.0783,0.356,0.161,0.82,-0.76665,0.104
0.0828,0.354,0.129,0.82,-0.76664,0.083
0.0781,0.354,0.145,0.82,-0.76663,0.089
0.08545,0.35,0.161,0.82,-0.76662,0.074
0.0769,0.348,0.161,0.83,-0.76661,0.0775
0.07095,0.348,0.177,0.82,-0.7666,0.0765
0.0681,0.348,0.193,0.82,-0.76659,0.089
0.08015,0.348,0.161,0.83,-0.76659,0.073
0.07605,0.346,0.193,0.82,-0.76658,0.0685
0.07195,0.344,0.145,0.83,-0.76657,0.0615
0.0926,0.35,0.016,0.91,-0.76504,0.138
0.1237,0.35,0.048,0.91,-0.76503,0.1375
0.11185,0.352,0.016,0.91,-0.76502,0.158
0.13435,0.352,0.032,0.91,-0.76501,0.1515
0.13415,0.352,0.048,0.91,-0.765,0.1875
0.1409,0.354,0.048,0.9,-0.76499,0.207
0.17255,0.354,0.064,0.9,-0.76498,0.225
0.1822,0.354,0.064,0.9,-0.76497,0.197
0.1607,0.354,0.032,0.9,-0.76496,0.205
0.1742,0.356,0.048,0.9,-0.76495,0.249
0.1924,0.356,0.064,0.9,-0.76494,0.34
0.2049,0.356,0.016,0.9,-0.76493,0.207
0.1644,0.358,0.064,0.89,-0.76492,0.2665
0.1928,0.358,0.032,0.89,-0.76491,0.239
0.1646,0.358,0.032,0.89,-0.7649,0.26
0.1916,0.36,0.064,0.89,-0.76489,0.2365
0.1969,0.362,0.064,0.89,-0.76488,0.241
0.2006,0.364,0.048,0.89,-0.76487,0.651
0.18895,0.366,0.032,0.88,-0.76486,0.2625
0.219,0.366,0.048,0.88,-0.76485,0.312
0.192,0.368,0.032,0.88,-0.76484,0.2285
0.1881,0.37,0.048,0.88,-0.76483,0.313
0.2059,0.372,0.064,0.87,-0.76482,0.3575
0.22225,0.37,0.032,0.87,-0.76481,0.7695
0.25925,0.372,0.016,0.87,-0.7648,0.751
0.6132,0.374,0.08,0.87,-0.76479,0.446
0.2286,0.374,0.064,0.86,-0.76478,0.6065
0.33185,0.374,0.113,0.86,-0.76477,0.807
0.6306,0.374,0.048,0.86,-0.76476,0.747
0.6692,0.376,0.032,0.87,-0.76475,0.7825
0.257,0.378,0.064,0.85,-0.76474,0.7245
0.2554,0.378,0.113,0.85,-0.76473,0.8725
0.649,0.376,0.113,0.85,-0.76472,0.8265
0.6774,0.378,0.064,0.85,-0.76471,0.794
0.64,0.382,0.064,0.86,-0.7647,0.8015
0.63895,0.38,0.08,0.84,-0.76469,0.7865
0.65735,0.38,0.129,0.85,-0.76468,0.7835
0.6719,0.378,0.08,0.85,-0.76467,0.8495
0.71235,0.38,0.064,0.85,-0.76466,0.841
0.6917,0.382,0.048,0.85,-0.76465,0.821
0.68415,0.378,0.097,0.84,-0.76464,0.7895
0.64405,0.38,0.064,0.85,-0.76463,0.8505
0.65595,0.382,0.064,0.84,-0.76462,0.822
0.6952,0.382,0.097,0.84,-0.76461,0.8045
0.6535,0.384,0.048,0.84,-0.7646,0.809
0.6408,0.386,0.097,0.84,-0.76459,0.808
0.6872,0.386,0.113,0.84,-0.76458,0.87
0.7328,0.39,0.097,0.84,-0.76457,0.89
0.73385,0.396,0.08,0.83,-0.76456,0.8765
0.7424,0.396,0.129,0.82,-0.76455,0.8795
0.7588,0.392,0.129,0.81,-0.76454,0.888
0.75,0.392,0.097,0.82,-0.76453,0.87
0.74835,0.398,0.032,0.82,-0.76452,0.7845
0.7639,0.402,0.145,0.81,-0.76451,0.825
0.72545,0.4,0.08,0.81,-0.7645,0.8225
0.77635,0.404,0.145,0.8,-0.76449,0.8645
0.77675,0.404,0.161,0.8,-0.76448,0.8845
0.7698,0.406,0.161,0.79,-0.76447,0.8725
0.7375,0.41,0.129,0.78,-0.76446,0.8785
0.7876,0.418,0.064,0.78,-0.76445,0.8355
0.72915,0.424,0.161,0.76,-0.76444,0.81
0.7633,0.414,0.097,0.78,-0.76443,0.8085
0.7042,0.416,0.129,0.78,-0.76442,0.8085
0.7179,0.418,0.08,0.78,-0.76441,0.8465
0.6823,0.42,0.145,0.77,-0.7644,0.818
0.7091,0.424,0.032,0.77,-0.76439,0.827
0.6637,0.424,0.129,0.76,-0.76438,0.82
0.65225,0.422,0.145,0.77,-0.76437,0.776
0.678,0.42,0.113,0.76,-0.76436,0.7995
0.6361,0.42,0.129,0.76,-0.76435,0.794
0.66045,0.416,0.129,0.76,-0.76434,0.802
0.7093,0.424,0.113,0.77,-0.76433,0.799
0.66515,0.424,0.097,0.76,-0.76432,0.773
0.649,0.424,0.129,0.76,-0.76431,0.802
0.6185,0.426,0.097,0.76,-0.7643,0.797
0.66575,0.426,0.129,0.74,-0.76429,0.7975
0.65165,0.424,0.113,0.75,-0.76428,0.8155
0.64305,0.426,0.129,0.74,-0.76427,0.7975
0.63285,0.426,0.08,0.75,-0.76426,0.7205
0.58865,0.43,0.048,0.75,-0.76425,0.7575
0.6324,0.424,0.064,0.74,-0.76424,0.769
0.62095,0.422,0.097,0.76,-0.76423,0.769
0.62585,0.424,0.113,0.75,-0.76422,0.736
0.58315,0.426,0.08,0.74,-0.76421,0.7495
0.5944,0.434,0.113,0.74,-0.7642,0.727
0.585,0.438,0.064,0.73,-0.76418,0.739
0.6089,0.436,0.177,0.71,-0.76417,0.7075
0.5586,0.436,0.145,0.72,-0.76416,0.6745
0.5394,0.432,0.129,0.74,-0.76415,0.6925
0.5392,0.432,0.161,0.73,-0.76414,0.708
0.57845,0.43,0.113,0.73,-0.76413,0.6635
0.5253,0.424,0.097,0.73,-0.76412,0.6745
0.52425,0.422,0.145,0.74,-0.76411,0.67
0.5269,0.42,0.177,0.73,-0.7641,0.6415
0.50975,0.422,0.113,0.74,-0.76409,0.6025
0.49315,0.424,0.145,0.73,-0.76408,0.611
0.49625,0.424,0.145,0.73,-0.76407,0.612
0.503,0.414,0.209,0.73,-0.76406,0.6065
0.4944,0.41,0.177,0.75,-0.76405,0.579
0.4811,0.41,0.193,0.75,-0.76404,0.569
0.4664,0.408,0.161,0.76,-0.76403,0.558
0.45635,0.408,0.097,0.76,-0.76402,0.532
0.43675,0.414,0.129,0.75,-0.76401,0.5255
0.43795,0.414,0.161,0.75,-0.764,0.5055
0.4171,0.412,0.193,0.75,-0.76399,0.5225
0.4308,0.412,0.193,0.76,-0.76398,0.499
0.4071,0.412,0.064,0.77,-0.76397,0.4945
0.3932,0.42,0.193,0.76,-0.76396,0.4755
0.39035,0.418,0.145,0.75,-0.76395,0.47
0.38605,0.416,0.161,0.75,-0.76394,0.4525
0.35825,0.412,0.193,0.76,-0.76393,0.442
0.36925,0.412,0.161,0.76,-0.76392,0.427
0.35045,0.414,0.177,0.76,-0.76391,0.407
0.33265,0.41,0.209,0.76,-0.7639,0.402
0.3257,0.408,0.113,0.77,-0.76389,0.3635
0.3063,0.412,0.225,0.77,-0.76388,0.3755
0.31445,0.406,0.161,0.77,-0.76387,0.336
0.28115,0.406,0.097,0.77,-0.76386,0.3205
0.27625,0.416,0.177,0.76,-0.76385,0.288
0.2601,0.422,0.064,0.76,-0.76384,0.279
0.24455,0.42,0.129,0.75,-0.76383,0.267
0.2419,0.426,0.113,0.75,-0.76382,0.247
0.23005,0.43,0.129,0.74,-0.76381,0.2255
0.2147,0.424,0.113,0.74,-0.7638,0.2075
0.20015,0.418,0.145,0.74,-0.76379,0.185
0.1834,0.424,0.113,0.75,-0.76378,0.17
0.1732,0.43,0.097,0.74,-0.76377,0.153
0.16315,0.426,0.064,0.74,-0.76375,0.14
0.1562,0.422,0.161,0.74,-0.76374,0.121
0.14435,0.416,0.064,0.75,-0.76373,0.112
0.13475,0.418,0.193,0.75,-0.76372,0.094
0.1732,0.346,0.016,0.8,-0.76206,0.187
0.173,0.344,0.032,0.81,-0.76205,0.205
0.18075,0.344,0.032,0.81,-0.76204,0.2195
0.19405,0.342,0.032,0.81,-0.76202,0.24
0.20345,0.342,0.032,0.82,-0.76201,0.251
0.21715,0.344,0.048,0.82,-0.762,0.2665
0.2247,0.344,0.064,0.82,-0.76199,0.286
0.23495,0.346,0.064,0.82,-0.76198,0.302
0.2464,0.348,0.08,0.81,-0.76197,0.3175
0.25785,0.35,0.048,0.81,-0.76196,0.3325
0.26785,0.354,0.064,0.8,-0.76195,0.3475
0.2799,0.356,0.08,0.8,-0.76194,0.3625
0.29155,0.362,0.048,0.8,-0.76193,0.379
0.3014,0.364,0.064,0.79,-0.76192,0.3945
0.3122,0.366,0.113,0.78,-0.76191,0.4085
0.32265,0.366,0.08,0.78,-0.76189,0.422
