G_POA_norm,air_temp_norm,wind_s_norm,humidity_norm,declination_norm,datenum,power_norm
0.1370000000,0.3340000000,0.1130000000,0.9500000000,-0.7675671041,737791.4131944445,0.3055000000
0.1719500000,0.3340000000,0.1450000000,0.9500000000,-0.7675580049,737791.4166666666,0.3145000000
0.2451500000,0.3360000000,0.1610000000,0.9500000000,-0.7675489026,737791.4201388889,0.2110000000
0.1584500000,0.3360000000,0.1130000000,0.9500000000,-0.7675397972,737791.4236111111,0.2395000000
0.1458000000,0.3380000000,0.1770000000,0.9500000000,-0.7675306887,737791.4270833334,0.3750000000
0.1971000000,0.3360000000,0.1770000000,0.9500000000,-0.7675215772,737791.4305555555,0.4840000000
0.3073000000,0.3360000000,0.1450000000,0.9500000000,-0.7675124626,737791.4340277778,0.4400000000
0.3778500000,0.3360000000,0.1290000000,0.9500000000,-0.7675033449,737791.4375000000,0.2260000000
0.1707500000,0.3340000000,0.1770000000,0.9500000000,-0.7674942242,737791.4409722223,0.2575000000
0.1629500000,0.3340000000,0.1610000000,0.9500000000,-0.7674851004,737791.4444444445,0.3305000000
0.2059000000,0.3340000000,0.1450000000,0.9500000000,-0.7674759735,737791.4479166666,0.3010000000
0.2343000000,0.3320000000,0.1930000000,0.9500000000,-0.7674668435,737791.4513888889,0.2130000000
0.1801500000,0.3320000000,0.1610000000,0.9500000000,-0.7674577105,737791.4548611111,0.2405000000
0.1642000000,0.3320000000,0.1450000000,0.9500000000,-0.7674485744,737791.4583333334,0.2480000000
0.1965000000,0.3340000000,0.1290000000,0.9500000000,-0.7674394352,737791.4618055555,0.1950000000
0.1660500000,0.3320000000,0.1450000000,0.9400000000,-0.7674302929,737791.4652777778,0.2115000000
0.1376000000,0.3300000000,0.1290000000,0.9400000000,-0.7674211476,737791.4687500000,0.3635000000
0.2695000000,0.3300000000,0.1130000000,0.9400000000,-0.7674119992,737791.4722222223,0.2295000000
0.1881000000,0.3300000000,0.0970000000,0.9400000000,-0.7674028477,737791.4756944445,0.1965000000
0.1454000000,0.3320000000,0.1290000000,0.9400000000,-0.7673936932,737791.4791666666,0.1980000000
0.1597000000,0.3320000000,0.0970000000,0.9400000000,-0.7673845356,737791.4826388889,0.1695000000
0.1425000000,0.3340000000,0.0800000000,0.9500000000,-0.7673753749,737791.4861111111,0.1590000000
0.1173500000,0.3380000000,0.1290000000,0.9400000000,-0.7673662111,737791.4895833334,0.1575000000
0.1341500000,0.3360000000,0.1290000000,0.9400000000,-0.7673570443,737791.4930555555,0.1525000000
0.1175500000,0.3320000000,0.1610000000,0.9400000000,-0.7673478744,737791.4965277778,0.2290000000
0.1484500000,0.3340000000,0.1450000000,0.9400000000,-0.7673387014,737791.5000000000,0.2275000000
0.1840000000,0.3360000000,0.1290000000,0.9400000000,-0.7673295254,737791.5034722223,0.1315000000
0.1184000000,0.3380000000,0.0970000000,0.9400000000,-0.7673203462,737791.5069444445,0.1755000000
0.1204500000,0.3360000000,0.1770000000,0.9400000000,-0.7673111641,737791.5104166666,0.1775000000
0.1501000000,0.3360000000,0.1290000000,0.9400000000,-0.7673019788,737791.5138888889,0.2260000000
0.1171500000,0.3420000000,0.1290000000,0.9400000000,-0.7672927905,737791.5173611111,0.2670000000
0.2112000000,0.3400000000,0.1290000000,0.9300000000,-0.7672835991,737791.5208333334,0.2450000000
0.1727500000,0.3420000000,0.1450000000,0.9300000000,-0.7672744046,737791.5243055555,0.2780000000
0.2241000000,0.3360000000,0.1770000000,0.9300000000,-0.7672652070,737791.5277777778,0.2250000000
0.1605000000,0.3360000000,0.1290000000,0.9300000000,-0.7672560064,737791.5312500000,0.2190000000
0.1494500000,0.3360000000,0.1290000000,0.9200000000,-0.7672468027,737791.5347222223,0.2150000000
0.1783000000,0.3400000000,0.1770000000,0.9200000000,-0.7672375960,737791.5381944445,0.2080000000
0.1642000000,0.3380000000,0.1610000000,0.9200000000,-0.7672283861,737791.5416666666,0.2130000000
0.1554000000,0.3380000000,0.1130000000,0.9200000000,-0.7672191732,737791.5451388889,0.3050000000
0.2165500000,0.3420000000,0.1290000000,0.9200000000,-0.7672099572,737791.5486111111,0.2160000000
0.1803500000,0.3440000000,0.1290000000,0.9200000000,-0.7672007382,737791.5520833334,0.2595000000
0.1321000000,0.3420000000,0.1450000000,0.9200000000,-0.7671915161,737791.5555555555,0.2480000000
0.1995500000,0.3400000000,0.1450000000,0.9200000000,-0.7671822909,737791.5590277778,0.2570000000
0.2044500000,0.3400000000,0.0800000000,0.9200000000,-0.7671730626,737791.5625000000,0.2125000000
0.1768500000,0.3440000000,0.1130000000,0.9200000000,-0.7671638313,737791.5659722223,0.2070000000
0.1703000000,0.3440000000,0.1290000000,0.9200000000,-0.7671545969,737791.5694444445,0.1975000000
0.1494500000,0.3420000000,0.1930000000,0.9200000000,-0.7671453594,737791.5729166666,0.1910000000
0.1613000000,0.3420000000,0.0800000000,0.9200000000,-0.7671361189,737791.5763888889,0.2180000000
0.1482500000,0.3440000000,0.1130000000,0.9200000000,-0.7671268753,737791.5798611111,0.2795000000
0.1840000000,0.3400000000,0.1290000000,0.9200000000,-0.7671176286,737791.5833333334,0.2635000000
0.2030500000,0.3440000000,0.0970000000,0.9200000000,-0.7671083789,737791.5868055555,0.3645000000
0.2433000000,0.3440000000,0.1450000000,0.9200000000,-0.7670991260,737791.5902777778,0.3310000000
0.2611000000,0.3420000000,0.1450000000,0.9200000000,-0.7670898701,737791.5937500000,0.2865000000
0.2347500000,0.3420000000,0.2250000000,0.9200000000,-0.7670806112,737791.5972222223,0.3490000000
0.2112000000,0.3380000000,0.1610000000,0.9200000000,-0.7670713491,737791.6006944445,0.4350000000
0.2574000000,0.3380000000,0.1290000000,0.9100000000,-0.7670620840,737791.6041666666,0.5320000000
0.4124000000,0.3420000000,0.1130000000,0.9100000000,-0.7670528159,737791.6076388889,0.3085000000
0.2523000000,0.3440000000,0.1770000000,0.9100000000,-0.7670435446,737791.6111111111,0.3020000000
0.1959000000,0.3440000000,0.1770000000,0.9000000000,-0.7670342703,737791.6145833334,0.2500000000
0.1926000000,0.3440000000,0.1770000000,0.9000000000,-0.7670249929,737791.6180555555,0.6270000000
0.1952500000,0.3440000000,0.1770000000,0.9000000000,-0.7670157125,737791.6215277778,0.3095000000
0.2462000000,0.3420000000,0.1450000000,0.9000000000,-0.7670064289,737791.6250000000,0.3075000000
0.2237000000,0.3420000000,0.1290000000,0.9000000000,-0.7669971423,737791.6284722223,0.3225000000
0.2472000000,0.3440000000,0.2090000000,0.8900000000,-0.7669878527,737791.6319444445,0.3210000000
0.1852500000,0.3440000000,0.1450000000,0.8900000000,-0.7669785599,737791.6354166666,0.6780000000
0.3429000000,0.3440000000,0.1770000000,0.8800000000,-0.7669692641,737791.6388888889,0.4395000000
0.3191500000,0.3460000000,0.1610000000,0.8800000000,-0.7669599653,737791.6423611111,0.4840000000
0.2304500000,0.3460000000,0.1450000000,0.8700000000,-0.7669506633,737791.6458333334,0.3190000000
0.2412500000,0.3460000000,0.2410000000,0.8600000000,-0.7669413583,737791.6493055555,0.2940000000
0.2415000000,0.3460000000,0.2090000000,0.8700000000,-0.7669320502,737791.6527777778,0.3570000000
0.2836000000,0.3440000000,0.2090000000,0.8700000000,-0.7669227391,737791.6562500000,0.3570000000
0.1969000000,0.3420000000,0.2090000000,0.8700000000,-0.7669134248,737791.6597222223,0.5135000000
0.3815500000,0.3420000000,0.1450000000,0.8700000000,-0.7669041076,737791.6631944445,0.2605000000
0.1981500000,0.3440000000,0.1450000000,0.8700000000,-0.7668947872,737791.6666666666,0.3135000000
0.1977000000,0.3520000000,0.1130000000,0.8700000000,-0.7668854638,737791.6701388889,0.3865000000
0.3161000000,0.3520000000,0.1770000000,0.8400000000,-0.7668761373,737791.6736111111,0.2715000000
0.1844500000,0.3560000000,0.0800000000,0.8400000000,-0.7668668077,737791.6770833334,0.3430000000
0.2836000000,0.3560000000,0.1770000000,0.8300000000,-0.7668574751,737791.6805555555,0.2340000000
0.1918000000,0.3580000000,0.2250000000,0.8200000000,-0.7668481394,737791.6840277778,0.2395000000
0.1744000000,0.3620000000,0.1770000000,0.8100000000,-0.7668388006,737791.6875000000,0.2565000000
0.2083500000,0.3620000000,0.1930000000,0.8100000000,-0.7668294587,737791.6909722223,0.3450000000
