G_POA_norm,air_temp_norm,wind_s_norm,humidity_norm,declination_norm,datenum,power_norm
0.0795500000,0.3920000000,0.0320000000,0.8900000000,-0.7677665098,737426.3368055555,0.0635000000
0.0648000000,0.3920000000,0.0970000000,0.8900000000,-0.7677574782,737426.3402777778,0.0665000000
0.0722000000,0.3940000000,0.0320000000,0.8900000000,-0.7677484435,737426.3437500000,0.0530000000
0.0564500000,0.3980000000,0.0480000000,0.8900000000,-0.7677394058,737426.3472222223,0.0545000000
0.0650000000,0.4040000000,0.0640000000,0.8900000000,-0.7677303649,737426.3506944445,0.0490000000
0.0619500000,0.4080000000,0.0320000000,0.8900000000,-0.7677213210,737426.3541666666,0.0605000000
0.0623500000,0.4120000000,0.0970000000,0.8900000000,-0.7677122740,737426.3576388889,0.0570000000
0.0683000000,0.4160000000,0.0000000000,0.8800000000,-0.7677032239,737426.3611111111,0.0500000000
0.0609500000,0.4180000000,0.0970000000,0.8800000000,-0.7676941708,737426.3645833334,0.0535000000
0.0605000000,0.4200000000,0.0480000000,0.8700000000,-0.7676851146,737426.3680555555,0.0535000000
0.0644000000,0.4220000000,0.1290000000,0.8600000000,-0.7676760553,737426.3715277778,0.0555000000
0.0634000000,0.4220000000,0.1770000000,0.8500000000,-0.7676669929,737426.3750000000,0.0530000000
0.0621500000,0.4220000000,0.0970000000,0.8400000000,-0.7676579275,737426.3784722223,0.0525000000
0.0615500000,0.4240000000,0.1770000000,0.8300000000,-0.7676488590,737426.3819444445,0.0500000000
0.0619500000,0.4240000000,0.1450000000,0.8200000000,-0.7676397874,737426.3854166666,0.0220000000
0.0401000000,0.4240000000,0.0970000000,0.8100000000,-0.7676307128,737426.3888888889,0.0210000000
0.0378500000,0.4260000000,0.0800000000,0.8100000000,-0.7676216350,737426.3923611111,0.0230000000
0.0382500000,0.4280000000,0.1610000000,0.7900000000,-0.7676125542,737426.3958333334,0.0360000000
0.0392500000,0.4300000000,0.1130000000,0.7800000000,-0.7676034704,737426.3993055555,0.0545000000
0.0503000000,0.4340000000,0.1130000000,0.7700000000,-0.7675943834,737426.4027777778,0.0775000000
0.0613500000,0.4380000000,0.1770000000,0.7600000000,-0.7675852934,737426.4062500000,0.1090000000
0.0811500000,0.4400000000,0.1770000000,0.7700000000,-0.7675762003,737426.4097222223,0.1600000000
0.1006000000,0.4400000000,0.1770000000,0.7500000000,-0.7675671041,737426.4131944445,0.2050000000
0.1382000000,0.4380000000,0.1930000000,0.7300000000,-0.7675580049,737426.4166666666,0.3195000000
0.1746000000,0.4360000000,0.0320000000,0.7300000000,-0.7675489026,737426.4201388889,0.2900000000
0.2265500000,0.4320000000,0.0800000000,0.7400000000,-0.7675397972,737426.4236111111,0.7345000000
0.2128500000,0.4260000000,0.2410000000,0.7300000000,-0.7675306887,737426.4270833334,0.7450000000
0.3214000000,0.4220000000,0.1450000000,0.7400000000,-0.7675215772,737426.4305555555,0.7730000000
0.6173000000,0.4200000000,0.1290000000,0.7500000000,-0.7675124626,737426.4340277778,0.3295000000
