G_POA_norm,air_temp_norm,wind_s_norm,humidity_norm,declination_norm,power_norm
0.07955,0.392,0.032,0.89,-0.76777,0.07955
0.0648,0.392,0.097,0.89,-0.76776,0.0648
0.0722,0.394,0.032,0.89,-0.76775,0.0722
0.05645,0.398,0.048,0.89,-0.76774,0.05645
0.065,0.404,0.064,0.89,-0.76773,0.065
0.06195,0.408,0.032,0.89,-0.76772,0.06195
0.06235,0.412,0.097,0.89,-0.76771,0.06235
0.0683,0.416,0,0.88,-0.7677,0.0683
0.06095,0.418,0.097,0.88,-0.76769,0.06095
0.0605,0.42,0.048,0.87,-0.76769,0.0605
0.0644,0.422,0.129,0.86,-0.76768,0.0644
0.0634,0.422,0.177,0.85,-0.76767,0.0634
0.06215,0.422,0.097,0.84,-0.76766,0.06215
0.06155,0.424,0.177,0.83,-0.76765,0.06155
0.06195,0.424,0.145,0.82,-0.76764,0.06195
0.0401,0.424,0.097,0.81,-0.76763,0.0401
0.03785,0.426,0.08,0.81,-0.76762,0.03785
0.03825,0.428,0.161,0.79,-0.76761,0.03825
0.03925,0.43,0.113,0.78,-0.7676,0.03925
0.0503,0.434,0.113,0.77,-0.76759,0.0503
0.06135,0.438,0.177,0.76,-0.76759,0.06135
0.08115,0.44,0.177,0.77,-0.76758,0.08115
0.1006,0.44,0.177,0.75,-0.76757,0.1006
0.1382,0.438,0.193,0.73,-0.76756,0.1382
0.1746,0.436,0.032,0.73,-0.76755,0.1746
0.22655,0.432,0.08,0.74,-0.76754,0.22655
0.21285,0.426,0.241,0.73,-0.76753,0.21285
0.3214,0.422,0.145,0.74,-0.76752,0.3214
0.6173,0.42,0.129,0.75,-0.76751,0.6173
0.2662,0.418,0.113,0.78,-0.7675,0.2662
0.29605,0.414,0.145,0.8,-0.76749,0.29605
0.4531,0.41,0.064,0.82,-0.76749,0.4531
0.1734,0.406,0.016,0.83,-0.76748,0.1734
0.14435,0.404,0,0.84,-0.76747,0.14435
0.0771,0.406,0.048,0.85,-0.76746,0.0771
0.0871,0.406,0.016,0.85,-0.76745,0.0871
0.0726,0.408,0,0.86,-0.76744,0.0726
0.0738,0.41,0,0.87,-0.76743,0.0738
0.0969,0.412,0,0.87,-0.76742,0.0969
0.1683,0.412,0.032,0.88,-0.76741,0.1683
0.27335,0.414,0.032,0.9,-0.7674,0.27335
0.1871,0.414,0.048,0.91,-0.76739,0.1871
0.22145,0.414,0.032,0.91,-0.76738,0.22145
0.13025,0.414,0.08,0.92,-0.76738,0.13025
0.09445,0.416,0.032,0.92,-0.76737,0.09445
0.05645,0.416,0.032,0.93,-0.76736,0.05645
0.05665,0.418,0,0.93,-0.76735,0.05665
0.05215,0.422,0.016,0.93,-0.76734,0.05215
0.0452,0.422,0.032,0.93,-0.76733,0.0452
0.06705,0.424,0,0.93,-0.76732,0.06705
0.1599,0.428,0.016,0.93,-0.76731,0.1599
0.1472,0.432,0.08,0.92,-0.7673,0.1472
0.12185,0.44,0.032,0.91,-0.76729,0.12185
0.13455,0.448,0.048,0.9,-0.76728,0.13455
0.1239,0.454,0.016,0.89,-0.76727,0.1239
0.1458,0.456,0.032,0.86,-0.76727,0.1458
0.1871,0.456,0.097,0.84,-0.76726,0.1871
0.18975,0.454,0.064,0.84,-0.76725,0.18975
0.17195,0.452,0,0.84,-0.76724,0.17195
0.24455,0.448,0,0.85,-0.76723,0.24455
0.28525,0.444,0.048,0.85,-0.76722,0.28525
0.30895,0.44,0.048,0.86,-0.76721,0.30895
0.5404,0.438,0.08,0.87,-0.7672,0.5404
0.7966,0.436,0.145,0.87,-0.76719,0.7966
0.7455,0.436,0.032,0.88,-0.76718,0.7455
0.73095,0.434,0.016,0.88,-0.76717,0.73095
